n,p_target,m_bits,k,p_theory,p_emp_classic,p_emp_doublehash,insert_time_s_classic,query_time_s_classic,insert_time_s_doublehash,query_time_s_doublehash
1000,0.01,9585,6,0.010143425835252016,0.012,0.008,0.0014229000080376863,0.0009477999992668629,0.0016217001248151064,0.0012380999978631735
5000,0.01,47925,6,0.010143425835252016,0.007,0.014,0.0070287000853568316,0.004647699883207679,0.009282900020480156,0.007105099968612194
10000,0.01,95850,6,0.010143425835252016,0.0117,0.01,0.013941399985924363,0.009309299988672137,0.01580849988386035,0.012556800153106451
50000,0.01,479252,6,0.010143243108498913,0.00924,0.00998,0.08808210003189743,0.04677690006792545,0.08021750021725893,0.06279890006408095
100000,0.01,958505,6,0.01014319742740296,0.01014,0.01023,0.19819550006650388,0.11948250001296401,0.15968969999812543,0.1199237999971956
